the_geom,BoroCode,BoroName,specific_borough,Amount_of_Racks
POINT (-73.87576787962354 40.75065518522989),4,Queens,,
POINT (-74.03257754936405 40.619772781388654),3,Brooklyn,,
POINT (-73.87526294607395 40.74853843653474),4,Queens,,
POINT (-73.87526294607395 40.74853843653474),4,Queens,,
POINT (-73.9842244494001 40.76488947077702),1,Manhattan,,
POINT (-73.95432858289557 40.7305748820054),3,Brooklyn,,
POINT (-73.96754472629108 40.634992676042415),3,Brooklyn,,
POINT (-73.90120454791365 40.81700634327844),2,Bronx,,
POINT (-73.87573903175458 40.75064143038923),4,Queens,,
POINT (-73.84762234355733 40.68008916906202),4,Queens,,
POINT (-73.81481310923665 40.58670158532429),4,Queens,,
POINT (-73.84760435437866 40.6800726766065),4,Queens,,
POINT (-73.98028900887306 40.68145920777111),3,Brooklyn,,
POINT (-73.98028900887306 40.68145920777111),3,Brooklyn,,
POINT (-73.8757137316294 40.75066061630578),4,Queens,,
POINT (-74.03267469077771 40.61953670216876),3,Brooklyn,,
POINT (-73.81646678711617 40.5889138080918),4,Queens,,
POINT (-73.81646678711617 40.5889138080918),4,Queens,,
POINT (-73.81646678711617 40.5889138080918),4,Queens,,
POINT (-73.9543069324192 40.730577618166315),3,Brooklyn,,
POINT (-73.96639179089968 40.799524201148486),1,Manhattan,,
POINT (-73.91459880313657 40.658082122890185),3,Brooklyn,,
POINT (-73.95852110866309 40.649575565105515),3,Brooklyn,,
POINT (-73.86814941034325 40.823319077099576),2,Bronx,,
POINT (-73.86008025871105 40.87534922957837),2,Bronx,,
POINT (-73.87567402548525 40.750663318200345),4,Queens,,
POINT (-74.0326782888435 40.61952846678604),3,Brooklyn,,
POINT (-73.96918315681883 40.75398705074841),1,Manhattan,,
POINT (-73.87510021279917 40.67363636933501),3,Brooklyn,,
POINT (-73.9364349086669 40.697653954095195),3,Brooklyn,,
POINT (-73.96333031814291 40.606890231434555),3,Brooklyn,,
POINT (-73.98028900887306 40.68145920777111),3,Brooklyn,,
POINT (-73.89256176810721 40.81984763468243),2,Bronx,,
POINT (-74.00308867237041 40.65560505588857),3,Brooklyn,,
POINT (-73.96351378470803 40.79836779628746),1,Manhattan,,
POINT (-73.86437129188494 40.72699077291542),4,Queens,,
POINT (-73.95434295323201 40.7306654644553),3,Brooklyn,,
POINT (-73.9896541493095 40.739643905489324),1,Manhattan,,
POINT (-73.96653684184673 40.68341579838503),3,Brooklyn,,
POINT (-73.96753034127559 40.63493777633796),3,Brooklyn,,
POINT (-73.9634632002925 40.79840346165599),1,Manhattan,,
POINT (-73.9643304986362 40.68293754436731),3,Brooklyn,,
POINT (-73.96952454837935 40.63892100831642),3,Brooklyn,,
POINT (-73.96952454837935 40.63892100831642),3,Brooklyn,,
POINT (-73.9664719488901 40.683402054760776),3,Brooklyn,,
POINT (-73.93627271242411 40.697560542479465),3,Brooklyn,,
POINT (-73.98495996162477 40.76897099974791),1,Manhattan,,
POINT (-73.93025948427854 40.650720199093044),3,Brooklyn,,
POINT (-73.96425839702842 40.6829210533924),3,Brooklyn,,
POINT (-73.96326188975341 40.606892954372654),3,Brooklyn,,
POINT (-73.9391971255393 40.76512702301995),4,Queens,,
POINT (-73.96640705595976 40.68338831200044),3,Brooklyn,,
POINT (-73.9675123533583 40.63488287561345),3,Brooklyn,,
POINT (-73.97794950793238 40.68014129210751),3,Brooklyn,,
POINT (-73.94268261105982 40.70424467519739),3,Brooklyn,,
POINT (-73.99009971359504 40.703874253057975),3,Brooklyn,,
POINT (-73.99889216015478 40.739655343849996),1,Manhattan,,
POINT (-73.99076853725892 40.71842703836532),1,Manhattan,,
POINT (-74.00776559826107 40.7387493192497),1,Manhattan,,
POINT (-73.9997186247974 40.716909556194366),1,Manhattan,,
POINT (-73.99694935583899 40.690952274009916),3,Brooklyn,,
POINT (-73.97794950793238 40.68014129210751),3,Brooklyn,,
POINT (-73.99009971359504 40.703874253057975),3,Brooklyn,,
POINT (-74.01076775385754 40.7154460958423),1,Manhattan,,
POINT (-74.01076775385754 40.7154460958423),1,Manhattan,,
POINT (-74.01076775385754 40.7154460958423),1,Manhattan,,
POINT (-73.97537370129272 40.674618284227805),3,Brooklyn,,
POINT (-73.99170987525983 40.69108651018177),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.99282919815904 40.67739840799112),3,Brooklyn,,
POINT (-73.96418629279925 40.68290730713841),3,Brooklyn,,
POINT (-73.97096911692883 40.67272885180656),3,Brooklyn,,
POINT (-73.90076762416389 40.821702184711256),2,Bronx,,
POINT (-73.97096911692883 40.67272885180656),3,Brooklyn,,
POINT (-73.96949211883297 40.63892374449818),3,Brooklyn,,
POINT (-73.96614240107607 40.79986447456989),1,Manhattan,,
POINT (-73.96418629279925 40.68290730713841),3,Brooklyn,,
POINT (-73.96418629279925 40.68290730713841),3,Brooklyn,,
POINT (-73.87487623484627 40.750747541425156),4,Queens,,
POINT (-73.87453734115134 40.74863371454441),4,Queens,,
POINT (-73.81560246803896 40.586381712158406),4,Queens,,
POINT (-73.87486179293653 40.75075027048101),4,Queens,,
POINT (-73.87447236747562 40.74863913414474),4,Queens,,
POINT (-73.8156168843997 40.58637624569053),4,Queens,,
POINT (-73.81564566407447 40.58638452627513),4,Queens,,
POINT (-73.87440738861658 40.748647297547826),4,Queens,,
POINT (-73.84192776319728 40.66406843906251),4,Queens,,
POINT (-73.84192776319728 40.66406843906251),4,Queens,,
POINT (-73.81566008800883 40.58637631501249),4,Queens,,
POINT (-73.8748365234594 40.75075298777007),4,Queens,,
POINT (-73.8156673492199 40.58635436824942),4,Queens,,
POINT (-73.95436811786045 40.73079996808051),3,Brooklyn,,
POINT (-73.9663421630562 40.68337456920354),3,Brooklyn,,
POINT (-73.8828781046535 40.66642852625958),3,Brooklyn,,
POINT (-73.93616457825682 40.697502842543415),3,Brooklyn,,
POINT (-73.9647373168783 40.77272138860108),1,Manhattan,,
POINT (-73.9641334411479 40.76776420220527),1,Manhattan,,
POINT (-73.9641334411479 40.76776420220527),1,Manhattan,,
POINT (-73.95436811786045 40.73079996808051),3,Brooklyn,,
POINT (-73.95436811786045 40.73079996808051),3,Brooklyn,,
POINT (-73.84722656090999 40.68131007033215),4,Queens,,
POINT (-73.81569252859151 40.586362643046314),4,Queens,,
POINT (-73.87421245594236 40.74866904279584),4,Queens,,
POINT (-73.87421245594236 40.74866904279584),4,Queens,,
POINT (-73.87421245594236 40.74866904279584),4,Queens,,
POINT (-74.032901350781 40.618982188797375),3,Brooklyn,,
POINT (-73.8466379647919 40.680137267129474),4,Queens,,
POINT (-73.87414748220752 40.74867446131234),4,Queens,,
POINT (-73.87446878943508 40.7486226608715),4,Queens,,
POINT (-74.03277900332273 40.61923474503393),3,Brooklyn,,
POINT (-73.87478237412573 40.75075841840678),4,Queens,,
POINT (-73.87408250327421 40.748682624532094),4,Queens,,
POINT (-73.87478237412573 40.75075841840678),4,Queens,,
POINT (-73.98022046476927 40.68159643437235),3,Brooklyn,,
POINT (-73.98022046476927 40.68159643437235),3,Brooklyn,,
POINT (-73.81574298580357 40.58634351036136),4,Queens,,
POINT (-73.81574298580357 40.58634351036136),4,Queens,,
POINT (-73.87394171812754 40.74869893901245),4,Queens,,
POINT (-73.84716886147233 40.68131548325202),4,Queens,,
POINT (-74.03298050268188 40.61879277582345),3,Brooklyn,,
POINT (-73.79686745051634 40.70439260864624),4,Queens,,
POINT (-73.84659469409675 40.68013995421953),4,Queens,,
POINT (-73.84716170094029 40.68129351556943),4,Queens,,
